Medicare Advantage Monthly Capitation Rates for 2026 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2026 Rate,Parts A&B 3.5% Bonus 2026 Rate,Parts A&B 0% Bonus 2026 Rate,Parts A&B ESRD 2026 Rate
04370,ARKANSAS,LAWRENCE,"1,220.39","1,220.39","1,211.99","8,814.02"
04380,ARKANSAS,LEE,"1,245.63","1,245.63","1,236.42","8,814.02"
04390,ARKANSAS,LINCOLN,"1,260.61","1,260.61","1,249.33","8,814.02"
04400,ARKANSAS,LITTLE RIVER,"1,319.66","1,300.81","1,256.82","8,814.02"
04410,ARKANSAS,LOGAN,"1,153.99","1,153.99","1,153.99","8,814.02"
04420,ARKANSAS,LONOKE,"1,304.71","1,287.31","1,246.72","8,814.02"
04430,ARKANSAS,MADISON,"1,193.54","1,178.62","1,143.81","8,814.02"
04440,ARKANSAS,MARION,"1,258.81","1,258.81","1,239.94","8,814.02"
04450,ARKANSAS,MILLER,"1,267.21","1,249.11","1,206.87","8,814.02"
04460,ARKANSAS,MISSISSIPPI,"1,250.67","1,239.69","1,197.77","8,814.02"
04470,ARKANSAS,MONROE,"1,245.31","1,245.31","1,215.68","8,814.02"
04480,ARKANSAS,MONTGOMERY,"1,255.97","1,255.97","1,255.97","8,814.02"
04490,ARKANSAS,NEVADA,"1,239.02","1,221.32","1,180.02","8,814.02"
04500,ARKANSAS,NEWTON,"1,223.21","1,207.92","1,172.24","8,814.02"
04510,ARKANSAS,OUACHITA,"1,256.14","1,256.14","1,229.11","8,814.02"
04520,ARKANSAS,PERRY,"1,264.40","1,247.54","1,208.20","8,814.02"
04530,ARKANSAS,PHILLIPS,"1,246.75","1,246.75","1,212.20","8,814.02"
04540,ARKANSAS,PIKE,"1,265.00","1,265.00","1,230.03","8,814.02"
04550,ARKANSAS,POINSETT,"1,253.56","1,251.03","1,208.72","8,814.02"
04560,ARKANSAS,POLK,"1,257.92","1,257.92","1,236.16","8,814.02"
04570,ARKANSAS,POPE,"1,255.84","1,253.12","1,213.61","8,814.02"
04580,ARKANSAS,PRAIRIE,"1,237.32","1,237.32","1,233.18","8,814.02"
04590,ARKANSAS,PULASKI,"1,287.00","1,269.84","1,229.80","8,814.02"
04600,ARKANSAS,RANDOLPH,"1,280.99","1,261.78","1,216.94","8,814.02"
04610,ARKANSAS,ST. FRANCIS,"1,243.76","1,243.76","1,243.76","8,814.02"
04620,ARKANSAS,SALINE,"1,245.96","1,228.16","1,186.63","8,814.02"
04630,ARKANSAS,SCOTT,"1,207.79","1,192.69","1,157.46","8,814.02"
04640,ARKANSAS,SEARCY,"1,257.41","1,257.41","1,252.38","8,814.02"
04650,ARKANSAS,SEBASTIAN,"1,302.44","1,286.16","1,248.18","8,814.02"
04660,ARKANSAS,SEVIER,"1,281.69","1,264.60","1,224.73","8,814.02"
04670,ARKANSAS,SHARP,"1,244.92","1,243.08","1,201.04","8,814.02"
04680,ARKANSAS,STONE,"1,110.11","1,110.11","1,110.11","8,814.02"
04690,ARKANSAS,UNION,"1,255.13","1,255.13","1,255.13","8,814.02"
04700,ARKANSAS,VAN BUREN,"1,255.09","1,255.09","1,219.35","8,814.02"
04710,ARKANSAS,WASHINGTON,"1,265.75","1,249.93","1,213.01","8,814.02"
04720,ARKANSAS,WHITE,"1,236.16","1,236.16","1,215.56","8,814.02"
04730,ARKANSAS,WOODRUFF,"1,299.26","1,280.70","1,237.39","8,814.02"
04740,ARKANSAS,YELL,"1,250.75","1,232.88","1,191.19","8,814.02"
05000,CALIFORNIA,ALAMEDA,"1,303.17","1,283.62","1,238.01","11,367.32"
05010,CALIFORNIA,ALPINE,"1,204.75","1,187.12","1,145.99","11,367.32"
05020,CALIFORNIA,AMADOR,"1,390.91","1,370.05","1,321.36","11,367.32"
05030,CALIFORNIA,BUTTE,"1,406.58","1,385.48","1,336.25","11,367.32"
05040,CALIFORNIA,CALAVERAS,"1,379.56","1,358.87","1,310.58","11,367.32"
05050,CALIFORNIA,COLUSA,"1,314.98","1,314.98","1,278.75","11,367.32"
05060,CALIFORNIA,CONTRA COSTA,"1,352.48","1,332.19","1,284.86","11,367.32"
05070,CALIFORNIA,DEL NORTE,"1,279.54","1,261.26","1,218.61","11,367.32"
05080,CALIFORNIA,EL DORADO,"1,313.75","1,294.04","1,248.06","11,367.32"
05090,CALIFORNIA,FRESNO,"1,324.65","1,305.26","1,260.03","11,367.32"
05100,CALIFORNIA,GLENN,"1,411.75","1,390.57","1,341.16","11,367.32"
05110,CALIFORNIA,HUMBOLDT,"1,260.02","1,242.64","1,202.09","11,367.32"
05120,CALIFORNIA,IMPERIAL,"1,270.19","1,270.19","1,270.19","11,367.32"
05130,CALIFORNIA,INYO,"1,649.16","1,624.42","1,566.70","11,367.32"
05140,CALIFORNIA,KERN,"1,323.23","1,303.87","1,258.69","11,367.32"
05150,CALIFORNIA,KINGS,"1,295.12","1,295.12","1,255.27","11,367.32"
05160,CALIFORNIA,LAKE,"1,432.79","1,411.30","1,361.15","11,367.32"
05170,CALIFORNIA,LASSEN,"1,340.04","1,320.43","1,274.68","11,367.32"
05200,CALIFORNIA,LOS ANGELES,"1,479.86","1,457.66","1,405.87","11,367.32"
05210,CALIFORNIA,LOS ANGELES,"1,479.86","1,457.66","1,405.87","11,367.32"
05300,CALIFORNIA,MADERA,"1,340.37","1,321.88","1,278.74","11,367.32"
05310,CALIFORNIA,MARIN,"1,379.07","1,358.38","1,310.12","11,367.32"
05320,CALIFORNIA,MARIPOSA,"1,410.53","1,389.37","1,340.00","11,367.32"
05330,CALIFORNIA,MENDOCINO,"1,382.21","1,361.48","1,313.10","11,367.32"
05340,CALIFORNIA,MERCED,"1,293.17","1,291.89","1,248.20","11,367.32"
05350,CALIFORNIA,MODOC,"1,489.66","1,467.32","1,415.18","11,367.32"
05360,CALIFORNIA,MONO,"1,566.47","1,542.97","1,488.15","11,367.32"
05370,CALIFORNIA,MONTEREY,"1,329.87","1,309.92","1,263.38","11,367.32"
05380,CALIFORNIA,NAPA,"1,302.29","1,282.76","1,237.18","11,367.32"
05390,CALIFORNIA,NEVADA,"1,296.59","1,278.07","1,234.85","11,367.32"
05400,CALIFORNIA,ORANGE,"1,367.19","1,347.18","1,300.49","11,367.32"
05410,CALIFORNIA,PLACER,"1,308.88","1,289.73","1,245.04","11,367.32"
05420,CALIFORNIA,PLUMAS,"1,398.09","1,377.12","1,328.19","11,367.32"
05430,CALIFORNIA,RIVERSIDE,"1,364.00","1,344.04","1,297.46","11,367.32"
05440,CALIFORNIA,SACRAMENTO,"1,253.60","1,235.69","1,193.90","11,367.32"
05450,CALIFORNIA,SAN BENITO,"1,463.64","1,441.69","1,390.46","11,367.32"
05460,CALIFORNIA,SAN BERNARDINO,"1,290.57","1,271.68","1,227.61","11,367.32"
05470,CALIFORNIA,SAN DIEGO,"1,359.33","1,339.44","1,293.03","11,367.32"
05480,CALIFORNIA,SAN FRANCISCO,"1,278.22","1,259.96","1,217.35","11,367.32"
05490,CALIFORNIA,SAN JOAQUIN,"1,313.81","1,295.04","1,251.25","11,367.32"
05500,CALIFORNIA,SAN LUIS OBISPO,"1,294.60","1,294.60","1,260.29","11,367.32"
05510,CALIFORNIA,SAN MATEO,"1,299.75","1,280.25","1,234.76","11,367.32"
05520,CALIFORNIA,SANTA BARBARA,"1,305.09","1,286.44","1,242.94","11,367.32"
05530,CALIFORNIA,SANTA CLARA,"1,322.69","1,302.85","1,256.56","11,367.32"
05540,CALIFORNIA,SANTA CRUZ,"1,300.88","1,281.37","1,235.84","11,367.32"
