Medicare Advantage Monthly Capitation Rates for 2026 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.",,,,
Code,State,County Name,Parts A&B 2026 Rate,Parts A&B ESRD 2026 Rate
10190,FLORIDA,GADSDEN,"1,396.41","10,242.30"
10200,FLORIDA,GILCHRIST,"1,358.55","10,242.30"
10210,FLORIDA,GLADES,"1,280.78","10,242.30"
10220,FLORIDA,GULF,"1,442.98","10,242.30"
10230,FLORIDA,HAMILTON,"1,347.47","10,242.30"
10240,FLORIDA,HARDEE,"1,401.55","10,242.30"
10250,FLORIDA,HENDRY,"1,313.41","10,242.30"
10260,FLORIDA,HERNANDO,"1,396.41","10,242.30"
10270,FLORIDA,HIGHLANDS,"1,289.45","10,242.30"
10280,FLORIDA,HILLSBOROUGH,"1,310.98","10,242.30"
10290,FLORIDA,HOLMES,"1,263.49","10,242.30"
10300,FLORIDA,INDIAN RIVER,"1,421.60","10,242.30"
10310,FLORIDA,JACKSON,"1,263.49","10,242.30"
10320,FLORIDA,JEFFERSON,"1,396.41","10,242.30"
10330,FLORIDA,LAFAYETTE,"1,428.01","10,242.30"
10340,FLORIDA,LAKE,"1,396.41","10,242.30"
10350,FLORIDA,LEE,"1,396.41","10,242.30"
10360,FLORIDA,LEON,"1,396.41","10,242.30"
10370,FLORIDA,LEVY,"1,312.24","10,242.30"
10380,FLORIDA,LIBERTY,"1,229.65","10,242.30"
10390,FLORIDA,MADISON,"1,327.53","10,242.30"
10400,FLORIDA,MANATEE,"1,396.41","10,242.30"
10410,FLORIDA,MARION,"1,396.41","10,242.30"
10420,FLORIDA,MARTIN,"1,391.75","10,242.30"
10430,FLORIDA,MONROE,"1,620.68","10,242.30"
10440,FLORIDA,NASSAU,"1,396.41","10,242.30"
10450,FLORIDA,OKALOOSA,"1,262.76","10,242.30"
10460,FLORIDA,OKEECHOBEE,"1,498.17","10,242.30"
10470,FLORIDA,ORANGE,"1,376.07","10,242.30"
10480,FLORIDA,OSCEOLA,"1,369.02","10,242.30"
10490,FLORIDA,PALM BEACH,"1,534.53","10,242.30"
10500,FLORIDA,PASCO,"1,396.41","10,242.30"
10510,FLORIDA,PINELLAS,"1,370.55","10,242.30"
10520,FLORIDA,POLK,"1,396.41","10,242.30"
10530,FLORIDA,PUTNAM,"1,317.83","10,242.30"
10540,FLORIDA,ST. JOHNS,"1,396.41","10,242.30"
10550,FLORIDA,ST. LUCIE,"1,508.97","10,242.30"
10560,FLORIDA,SANTA ROSA,"1,396.41","10,242.30"
10570,FLORIDA,SARASOTA,"1,396.41","10,242.30"
10580,FLORIDA,SEMINOLE,"1,371.63","10,242.30"
10590,FLORIDA,SUMTER,"1,253.09","10,242.30"
10600,FLORIDA,SUWANNEE,"1,302.01","10,242.30"
10610,FLORIDA,TAYLOR,"1,503.42","10,242.30"
10620,FLORIDA,UNION,"1,460.06","10,242.30"
